
  @14C4AC byte2 mask04 sig=0x40000796 dlc=0800FF00 m1=2FFFFF3F m2=FFD87FFF

### MS-CAN frameObj=0x4000051C (16 signals)
  @151740 byte0 mask00 sig=0x40000AE0 dlc=00000000 m1=FFFFFFFF m2=FFFFFFFF
  @151A80 byte0 mask01 sig=0x40000A0F dlc=0800FF00 m1=EC2FFFFF m2=7FFFFFFF
  @151AA0 byte1 mask02 sig=0x40000A75 dlc=0800FF00 m1=F010FFFF m2=FFFF7FFF
  @151AC0 byte2 mask04 sig=0x40000A6C dlc=0800FF00 m1=B7BEFFFF m2=FFFFFFFF
  @151AE0 byte3 mask08 sig=0x400009AF dlc=0800FF00 m1=FF63FB7B m2=EFDFB7AB
  @151B00 byte4 mask10 sig=0x400009FD dlc=0800FF00 m1=88FFFFFF m2=2FFFFFFF
  @151B40 byte6 mask02 sig=0x40000A90 dlc=0800F700 m1=2A3FFFFF m2=7FFFFFFF
  @151FE0 byte0 mask00 sig=0x40000A99 dlc=00000000 m1=FFFFFFFF m2=FFFFFFFF
  @155E7C byte0 mask01 sig=0x40000A0F dlc=0800FF00 m1=EC2FFFFF m2=7FFFFFFF
  @155E9C byte1 mask02 sig=0x40000A75 dlc=0800FF00 m1=F010FFFF m2=FFFF7FFF
  @155EBC byte2 mask04 sig=0x40000A6C dlc=0800FF00 m1=B7BEFFFF m2=FFFFFFFF
  @155EDC byte3 mask08 sig=0x400009AF dlc=0800FF00 m1=FF63FB7B m2=EFDFB7AB
  @155EFC byte4 mask10 sig=0x400009FD dlc=0800FF00 m1=88FFFFFF m2=2FFFFFFF
  @155F3C byte6 mask02 sig=0x40000A90 dlc=0800F700 m1=2A3FFFFF m2=7FFFFFFF
  @1563FC byte0 mask00 sig=0x40000A99 dlc=00000000 m1=FFFFFFFF m2=FFFFFFFF
  @15A448 byte0 mask00 sig=0x40000A99 dlc=00000000 m1=FFFFFFFF m2=FFFFFFFF

### MS-CAN frameObj=0x4000051E (2 signals)
  @151B60 byte7 mask40 sig=0x40000ACE dlc=0800FF00 m1=3FFFFFE3 m2=FF37FF6F
  @155F5C byte7 mask40 sig=0x40000ACE dlc=0800FF00 m1=3FFFFFE3 m2=FF37FF6F

### MS-CAN frameObj=0x40000521 (2 signals)
  @151B20 byte5 mask20 sig=0x400009E5 dlc=0800FF00 m1=FFFF7FFF m2=DCFFFFFF
  @155F1C byte5 mask20 sig=0x400009E5 dlc=0800FF00 m1=FFFF7FFF m2=DCFFFFFF

### MSX-CAN frameObj=0x400005A8 (10 signals)
  @15A934 byte0 mask01 sig=0x40000B38 dlc=08007F00 m1=FFFFDF33 m2=FFFFF9AF
  @15A954 byte1 mask02 sig=0x40000B41 dlc=0800FF00 m1=FFEAFFFF m2=FFEAFFFF
  @15A974 byte2 mask04 sig=0x40000B7B dlc=0800F000 m1=FFFFFFFF m2=FFFFFFFF
  @15A994 byte3 mask08 sig=0x40000B84 dlc=0800FF00 m1=FFFFFFFF m2=FFFFFFFF
  @15A9D4 byte0 mask00 sig=0x40000B46 dlc=00000000 m1=FFFFFFFF m2=FFFFFFFF
  @15A9F4 byte5 mask08 sig=0x40000B4F dlc=0800FF00 m1=FFFFFFFF m2=FFFFFFFF
  @15AA14 byte6 mask04 sig=0x40000B69 dlc=0800FF00 m1=FFFFFFFF m2=FFFFFFFF
  @15AA34 byte7 mask20 sig=0x40000B72 dlc=0800FF00 m1=FFFFFFFF m2=FFFFFFFF
  @15AD4C byte0 mask00 sig=0x40000B46 dlc=00000000 m1=FFFFFFFF m2=FFFFFFFF
  @15AD6C byte5 mask08 sig=0x40000B4F dlc=0800FF00 m1=FFFFFFFF m2=FFFFFFFF

### net2 frameObj=0x40000301 (1 signals)
  @14EF94 byte0 mask00 sig=0x40000DE8 dlc=40000348 m1=00140000 m2=40000852
