14070C src=400006F2 dst=400006F1 m=400001A5 pk1=0C022080 pk2=80A10000
140720 src=400006F0 dst=400006F0 m=400001A5 pk1=0F002080 pk2=80610000
140734 src=4000069E dst=4000069E m=400001A3 pk1=20051002 pk2=02210000
140748 src=400006F7 dst=400006F5 m=400001A4 pk1=18030008 pk2=08410000
14075C src=400006F7 dst=400006F7 m=400001A4 pk1=03000408 pk2=08420000
140770 src=400006F7 dst=400006F5 m=400001A4 pk1=C0060008 pk2=08410000
140784 src=400006F5 dst=400006F7 m=400001A4 pk1=03002008 pk2=08020000
140798 src=400006F9 dst=400006F9 m=400001A6 pk1=10042020 pk2=20010000
1407AC src=400006FE dst=400006FD m=400001A6 pk1=F0041002 pk2=02210000
1407C0 src=400006B4 dst=400006B4 m=400001A2 pk1=60058004 pk2=04010000
1407D4 src=400006FF dst=400006FF m=400001A4 pk1=03000420 pk2=20010000
1407E8 src=400006FF dst=400006FF m=400001A4 pk1=20050020 pk2=20010000
140810 src=40000706 dst=40000700 m=400001A2 pk1=70040001 pk2=01C10000
140824 src=40000700 dst=40000700 m=400001A2 pk1=00000001 pk2=01080000
140838 src=40000708 dst=40000707 m=400001A2 pk1=E0050020 pk2=20210000
140860 src=4000067A dst=4000067A m=400001A1 pk1=40068001 pk2=01410000
140874 src=400006B9 dst=400006B9 m=400001A3 pk1=08031020 pk2=20010000
140888 src=400006FB dst=400006FB m=400001A6 pk1=80074020 pk2=20410000
14089C src=4000070B dst=4000070B m=400001A5 pk1=01000220 pk2=20210000
1408B0 src=400006D8 dst=400006D8 m=400001A4 pk1=08030004 pk2=04010000
140978 src=400006B9 dst=400006B9 m=400001A3 pk1=80070020 pk2=20010000
1409B4 src=4000070D dst=4000070D m=400001A6 pk1=60058010 pk2=10210000
1409DC src=4000070F dst=4000070F m=400001A5 pk1=0F004004 pk2=04010000
1409F0 src=40000710 dst=4000070F m=400001A5 pk1=00002004 pk2=04280000
140A04 src=40000717 dst=40000717 m=400001A5 pk1=03000402 pk2=02010000
140A18 src=400006D7 dst=400006D5 m=400001A4 pk1=08034010 pk2=10410000
140A2C src=400006D6 dst=400006D6 m=400001A4 pk1=08032010 pk2=10210000
140A40 src=4000071E dst=4000071E m=400001A1 pk1=06010802 pk2=02010000
140A54 src=4000071E dst=4000071E m=400001A1 pk1=30044002 pk2=02010000
140A68 src=400006D7 dst=400006D7 m=400001A4 pk1=10048010 pk2=10410000
140A7C src=400006D7 dst=400006D6 m=400001A4 pk1=20050110 pk2=10410000
140A90 src=400006D7 dst=400006D6 m=400001A4 pk1=40060210 pk2=10410000
140AA4 src=4000068E dst=4000068C m=400001A3 pk1=0F000408 pk2=08410000
140AB8 src=400006F4 dst=400006F0 m=400001A5 pk1=07008080 pk2=80E10000
140ACC src=400006D6 dst=400006D5 m=400001A4 pk1=C0060110 pk2=10210000
140AF4 src=4000071A dst=40000717 m=400001A5 pk1=FF000002 pk2=02610000
140B08 src=400006CD dst=400006CF m=400001A3 pk1=08038001 pk2=01210000
140B30 src=40000723 dst=40000723 m=400001A6 pk1=7F008001 pk2=01620000
140B44 src=40000721 dst=40000720 m=400001A6 pk1=7F000001 pk2=01220000
140B58 src=40000721 dst=40000720 m=400001A6 pk1=80070001 pk2=01210000
140B6C src=40000720 dst=40000720 m=400001A6 pk1=30040001 pk2=01010000
140B80 src=4000067B dst=4000067B m=400001A1 pk1=04020801 pk2=01610000
140B94 src=400006AC dst=400006AC m=400001A3 pk1=80070010 pk2=10010000
140BE4 src=40000725 dst=40000725 m=400001A7 pk1=00000002 pk2=02080000
140BF8 src=4000072D dst=4000072D m=400001A7 pk1=00000004 pk2=04080000
140CD4 src=40000737 dst=40000736 m=400001A6 pk1=80078008 pk2=08410000
140CE8 src=400006F9 dst=400006F9 m=400001A6 pk1=02010120 pk2=20010000
140CFC src=4000067C dst=4000067C m=400001A1 pk1=40068001 pk2=01810000
140D4C src=4000073E dst=40000738 m=400001A0 pk1=0F000010 pk2=10C10000
140D60 src=4000073F dst=40000738 m=400001A0 pk1=FF000010 pk2=10E10000
140D74 src=40000744 dst=40000740 m=400001A0 pk1=FF000001 pk2=01810000
140D88 src=40000743 dst=40000740 m=400001A0 pk1=03000001 pk2=01610000
140D9C src=40000745 dst=40000740 m=400001A0 pk1=78030001 pk2=01A10000
140DB0 src=40000741 dst=40000745 m=400001A0 pk1=FF008001 pk2=01220000
140DC4 src=4000073E dst=40000738 m=400001A0 pk1=30040010 pk2=10C10000
140DD8 src=400006D2 dst=400006D0 m=400001A2 pk1=60050080 pk2=80410000
140DEC src=4000073C dst=4000073E m=400001A0 pk1=FF004010 pk2=10820000
140E00 src=400006D3 dst=400006D2 m=400001A2 pk1=FF008080 pk2=80620000
1473E4 src=40000743 dst=400009F1 m=400001A0 pk1=40000520 pk2=80100401
147444 src=40000614 dst=400009AF m=400001A1 pk1=4000051C pk2=20010010
147464 src=40000614 dst=40000A6C m=400001A1 pk1=4000051C pk2=80010020
147484 src=40000614 dst=400009AF m=400001A1 pk1=4000051C pk2=78010010
1474A4 src=40000614 dst=400009B8 m=400001A3 pk1=4000051E pk2=7F010010
1474C4 src=40000614 dst=400009DC m=400001A3 pk1=4000051E pk2=07010010
1474E4 src=40000614 dst=400009AF m=400001A1 pk1=4000051C pk2=01010010
147504 src=40000688 dst=400009B6 m=400001A1 pk1=4000051C pk2=70204010
147524 src=4000067E dst=400009B3 m=400001A1 pk1=4000051C pk2=0F801020
147544 src=40000614 dst=40000CFF m=400001A1 pk1=4000051C pk2=30010010
147584 src=40000691 dst=400009D4 m=400001A4 pk1=4000051D pk2=01010240
1475C4 src=40000691 dst=40000D0F m=400001A4 pk1=4000051F pk2=60088040
