WARNING: Final field name in class ghidra.util.charset.CharsetInfo has been mutated reflectively by class com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$2 in unnamed module @28b46423 (file:/opt/ghidra/Ghidra/Framework/Generic/lib/gson-2.13.2.jar)
WARNING: Use --enable-final-field-mutation=ALL-UNNAMED to avoid a warning
WARNING: Mutating final fields will be blocked in a future release unless final field mutation is enabled
SWEPT SCOPE -- memory blocks in BCM_OwnerFlash/cflash.bin:
   CFLASH               00000000 .. 0017ffff
   SHADOW               00200000 .. 00203fff
   DFLASH               00800000 .. 0080ffff
   SRAM                 40000000 .. 40017fff
   PBRIDGE_A            c3f00000 .. c3ffffff
   PBRIDGE_B            ffe00000 .. ffffffff
SCAN SCOPE: all references-to 0x031360 across the whole image.

getReferencesTo(0x031360): 782 refs
  by type: {'UNCONDITIONAL_CALL': 782}

SITE       FLAG         BIT FUNC
0x04CA34   0x00143E84   2   FUN_0004c0ea@0004c0ea
0x04CA50   0x00143F38   2   FUN_0004c0ea@0004c0ea
0x04CA80   0x0014412C   2   FUN_0004c0ea@0004c0ea
0x04CB2C   0x00144438   1   FUN_0004c0ea@0004c0ea
0x04CC7A   0x00143BB4   2   FUN_0004c0ea@0004c0ea
0x04CCC8   0x001445DC   7   FUN_0004c0ea@0004c0ea
0x04CD02   0x00143C90   1   FUN_0004c0ea@0004c0ea
0x04CD84   0x00143D08   2   FUN_0004c0ea@0004c0ea
0x04CDB0   0x00143E48   3   FUN_0004c0ea@0004c0ea
0x04CF94   0x0014395C   0   FUN_0004c0ea@0004c0ea
0x04DA78   0x40003FC7   2   FUN_0004da64@0004da64
0x04DAB6   0x40003FC8   1   FUN_0004da64@0004da64
0x04DAF2   0x40003D90   1   FUN_0004dae8@0004dae8
0x04DB1E   0x40003D90   1   FUN_0004dae8@0004dae8
0x04DB5E   None         1   FUN_0004dae8@0004dae8
0x04DB9A   0x40003D91   1   FUN_0004db90@0004db90
0x04DBC2   0x40003D92   1   FUN_0004dbb8@0004dbb8
0x0513FE   0x40003FC0   5   FUN_000513f4@000513f4
0x0582BE   0x40003EAF   2   FUN_000582b4@000582b4
0x05833A   0x40003EA6   2   FUN_00058330@00058330
0x0583A4   None         1   FUN_00058360@00058360
0x0583D2   0x40003E66   1   FUN_000583c8@000583c8
0x058AF6   0x40003FE8   4   FUN_00058ae2@00058ae2
0x058B10   0x40004011   1   FUN_00058ae2@00058ae2
0x058B22   0x40003F78   2   FUN_00058ae2@00058ae2
0x058B34   0x40003F0D   1   FUN_00058ae2@00058ae2
0x058B46   0x40003F79   3   FUN_00058ae2@00058ae2
0x058B58   None         1   FUN_00058ae2@00058ae2
0x059082   0x40003F4D   1   FUN_0005906e@0005906e
0x05909C   0x40003FC0   3   FUN_0005906e@0005906e
0x0590F0   0x40003F4D   1   FUN_000590dc@000590dc
0x05910A   0x40003FC0   3   FUN_000590dc@000590dc
0x059A22   0x40004012   0   None
0x059AAE   0x40003E9E   1   FUN_00059aa4@00059aa4
0x059ACC   0x40003E9E   1   FUN_00059ac2@00059ac2
0x059AF2   0x40003E9E   0   FUN_00059ad4@00059ad4
0x059D5C   0x40003DCC   0   FUN_00059d50@00059d50
0x059F26   0x40003E8F   2   FUN_00059f14@00059f14
0x059F76   0x40003D96   1   FUN_00059f64@00059f64
0x059FE4   0x40003D96   1   FUN_00059fd2@00059fd2
0x05A360   0x40003D96   1   FUN_0005a34e@0005a34e
0x05A3C0   0x40003D96   1   FUN_0005a3ae@0005a3ae
0x05A3F8   0x40003D96   1   FUN_0005a3e6@0005a3e6
0x05B238   0x40003F66   1   FUN_0005b220@0005b220
0x05B244   0x40003F64   1   FUN_0005b220@0005b220
0x05BB72   0x40003F44   1   FUN_0005babe@0005babe
0x05BB7E   0x40003F45   1   FUN_0005babe@0005babe
0x05BB8E   0x40003E89   3   FUN_0005bb84@0005bb84
0x05BC7A   None         4   FUN_0005bc5a@0005bc5a
0x05C052   0x40003F54   3   FUN_0005c048@0005c048
0x05C9CA   0x40003DD9   1   FUN_0005c9c0@0005c9c0
0x05CD54   0x40003DB7   1   FUN_0005cd4a@0005cd4a
0x05D7BA   0x40003E76   1   FUN_0005d7b0@0005d7b0
0x05D7DC   0x400040A7   1   FUN_0005d7d2@0005d7d2
0x05D9D4   0x400040B1   2   FUN_0005d9c0@0005d9c0
0x05D9EE   0x4000402C   1   FUN_0005d9c0@0005d9c0
0x05DA0C   0x4000402D   1   FUN_0005d9f8@0005d9f8
0x05DA2A   0x4000402F   1   FUN_0005da16@0005da16
0x05DA48   0x00000009   1   FUN_0005da34@0005da34
0x05DA66   0x00000009   1   FUN_0005da52@0005da52
0x05DA84   0x00000009   1   FUN_0005da70@0005da70
0x05DAA2   0x00000009   1   FUN_0005da8e@0005da8e
0x05DAB6   0x00000009   1   FUN_0005da8e@0005da8e
0x05DACA   0x00000009   1   FUN_0005da8e@0005da8e
0x05DADE   0x00000009   1   FUN_0005da8e@0005da8e
0x05DAF2   0x00000009   1   FUN_0005da8e@0005da8e
0x05DB06   0x00000009   1   FUN_0005da8e@0005da8e
0x05DB1A   None         1   FUN_0005da8e@0005da8e
