WARNING: Final field name in class ghidra.util.charset.CharsetInfo has been mutated reflectively by class com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$2 in unnamed module @28b46423 (file:/opt/ghidra/Ghidra/Framework/Generic/lib/gson-2.13.2.jar)
WARNING: Use --enable-final-field-mutation=ALL-UNNAMED to avoid a warning
WARNING: Mutating final fields will be blocked in a future release unless final field mutation is enabled
SWEPT SCOPE -- memory blocks in BCM_OwnerFlash/cflash.bin:
   CFLASH               00000000 .. 0017ffff
   SHADOW               00200000 .. 00203fff
   DFLASH               00800000 .. 0080ffff
   SRAM                 40000000 .. 40017fff
   PBRIDGE_A            c3f00000 .. c3ffffff
   PBRIDGE_B            ffe00000 .. ffffffff
SCAN SCOPE: all references-to 0x031360 across the whole image.

getReferencesTo(0x031360): 782 refs
  by type: {'UNCONDITIONAL_CALL': 782}

SITE       FLAG         BIT FUNC
0x07E37E   0x40003F1D   2   FUN_0007e346@0007e346
0x07E482   None         0   FUN_0007e450@0007e450
0x07E5B8   0x40003F1D   2   FUN_0007e586@0007e586
0x07E612   None         2   FUN_0007e5ee@0007e5ee
0x07E638   None         2   None
0x07EB9E   0x40003F56   0   FUN_0007eb94@0007eb94
0x07EC3E   0x40003F56   0   FUN_0007ec30@0007ec30
0x07F872   0x40004009   1   FUN_0007f846@0007f846
0x07F882   0x40004009   1   FUN_0007f846@0007f846
0x07F8E2   0x40003D75   3   FUN_0007f8d8@0007f8d8
0x07FA7A   0x40003F7C   0   None
0x07FA9E   0x0000007A   0   None
0x080694   0x40003D77   1   FUN_0008068a@0008068a
0x0807C0   0x40003D77   1   FUN_0008079c@0008079c
0x080806   0x40003D77   1   FUN_0008079c@0008079c
0x080848   None         1   FUN_0008079c@0008079c
0x080DF0   0x40003E8E   4   FUN_00080de6@00080de6
0x080E1A   0x40003FFB   5   FUN_00080e10@00080e10
0x080E34   0x40003E91   1   FUN_00080e2a@00080e2a
0x0817A2   0x40003EB6   6   FUN_0008178a@0008178a
0x081BCA   0x40003EB6   6   FUN_00081bc0@00081bc0
0x082812   0x40003F2A   3   FUN_00082808@00082808
0x083F88   0x40003EB6   5   FUN_00083f7e@00083f7e
0x083FA0   0x40003E63   1   FUN_00083f96@00083f96
0x08537C   0x40003EB0   1   FUN_00085372@00085372
0x085474   0x40003EA1   1   FUN_0008546a@0008546a
0x085EC2   0x40003D8D   1   FUN_00085eb8@00085eb8
0x0860C8   0x40003D8D   1   FUN_000860bc@000860bc
0x08617C   0x40003D8D   1   FUN_00086170@00086170
0x0913B2   0x40003D7A   0   FUN_000913a8@000913a8
0x09153A   0x40003D7A   0   FUN_00091530@00091530
0x0916C4   0x40003D7A   0   FUN_000916ba@000916ba
0x0918B0   0x40003D7A   0   FUN_000918a6@000918a6
0x096BB8   0x40003F3C   0   APP_lock_chain_03@00096ba2
0x096BD4   0x40003F3C   0   APP_lock_chain_03@00096ba2
0x096BE4   0x40003F3C   0   APP_lock_chain_03@00096ba2
0x096BF4   0x40003F3C   0   APP_lock_chain_03@00096ba2
0x096C06   0x40003E63   0   APP_lock_chain_04@00096bfc
0x096D3A   0x40003D75   2   APP_lock_chain_05@00096d2c
0x0972E4   None         1   APP_lock_chain_10@00097250
0x09730E   None         0   APP_lock_chain_10@00097250
0x09731C   None         0   APP_lock_chain_10@00097250
0x09732A   None         0   APP_lock_chain_10@00097250
0x09735A   0x40003EB6   3   APP_lock_chain_12@00097346
0x09736C   0x40003E89   1   APP_lock_chain_13@00097362
0x09737A   0x40003E89   1   APP_lock_chain_13@00097362
0x0989CC   0x40003E8C   0   FUN_000989c4@000989c4
0x098A14   0x40003E75   0   FUN_00098a06@00098a06
0x099058   0x40003E8C   0   FUN_0009904e@0009904e
0x099084   0x40003E75   0   FUN_0009907a@0009907a
0x09918E   0x40003E64   7   FUN_00099184@00099184
0x099308   0x40003F53   1   FUN_000992fe@000992fe
0x09942C   0x40003DD0   0   FUN_00099422@00099422
0x099446   0x40003DD1   0   FUN_0009943e@0009943e
0x099460   0x40003DD2   0   FUN_00099458@00099458
0x09947A   0x40003DD3   0   FUN_00099472@00099472
0x099494   0x40003DD4   0   FUN_0009948c@0009948c
0x0994AE   0x40003DCF   0   FUN_000994a2@000994a2
0x0994C8   0x40003E22   0   FUN_000994bc@000994bc
0x0994F2   0x40003DCE   0   FUN_000994e8@000994e8
0x09BAA2   0x40003E23   0   FUN_0009ba98@0009ba98
0x09BABA   0x40003DC8   0   FUN_0009bab0@0009bab0
0x09BACA   0x40003DC1   0   FUN_0009bac0@0009bac0
0x09BB70   0x40003D78   1   FUN_0009bb62@0009bb62
0x09BB88   0x40003D75   7   FUN_0009bb7c@0009bb7c
0x09BBD4   0x40004027   0   FUN_0009bbca@0009bbca
0x09BC32   0x40003F62   0   FUN_0009bbca@0009bbca
0x09BF6C   0x40003EAE   0   FUN_0009bf62@0009bf62
0x09BFB0   0x40003EAE   0   None
0x09C236   0x40004027   0   FUN_0009c22c@0009c22c
0x09C42E   0x40004027   0   FUN_0009c424@0009c424
0x09C508   0x40003D78   1   FUN_0009c4fe@0009c4fe
0x09C520   0x40003D75   7   FUN_0009c514@0009c514
0x09C538   0x40003F62   0   FUN_0009c514@0009c514
0x09C882   0x40003EAE   0   FUN_0009c878@0009c878
0x09C8C6   0x40003EAE   0   None
0x09CDEE   0x40003F60   0   FUN_0009cd58@0009cd58
0x09CE32   None         0   FUN_0009cd58@0009cd58
0x09CE62   None         0   FUN_0009cd58@0009cd58
0x09CEC0   None         0   FUN_0009cd58@0009cd58
0x09CF1E   None         0   FUN_0009cd58@0009cd58
0x09CF42   None         0   FUN_0009cd58@0009cd58
0x09CF66   None         0   FUN_0009cd58@0009cd58
0x09CFA0   0x40003FCC   0   FUN_0009cf8c@0009cf8c
0x09D070   0x40003DDE   0   FUN_0009d066@0009d066
0x09D0D0   None         1   FUN_0009d078@0009d078
0x09D0FC   0x40003DDE   0   FUN_0009d0f2@0009d0f2
0x09D120   None         1   FUN_0009d104@0009d104
0x09D144   0x40003D8E   1   FUN_0009d13a@0009d13a
0x09D186   0x40003D8E   0   FUN_0009d14c@0009d14c
0x09D316   0x40003FCB   1   FUN_0009d30c@0009d30c
0x09D47C   0x40003DC2   0   FUN_0009d46e@0009d46e
0x09D4E6   0x40003DC2   None FUN_0009d4de@0009d4de
0x09D538   0x40003F25   0   FUN_0009d52e@0009d52e
0x09D54C   0x40003F25   0   FUN_0009d542@0009d542
0x09D81A   0x40003EA8   0   FUN_0009d810@0009d810
0x09D8AE   0x40003E6B   0   FUN_0009d8a4@0009d8a4
0x09D8E0   0x40003DB9   0   FUN_0009d8d6@0009d8d6
0x09D90A   0x400040B5   1   FUN_0009d900@0009d900
0x09D936   0x40003E6C   0   FUN_0009d92c@0009d92c
0x09D962   0x40003E74   0   FUN_0009d958@0009d958
0x09DA46   0x40003EA8   0   FUN_0009da3c@0009da3c
0x09DAE4   0x40003E6B   0   FUN_0009dada@0009dada
0x09DB16   0x40003DB9   0   FUN_0009db0c@0009db0c
0x09DB40   0x400040B5   1   FUN_0009db36@0009db36
0x09DB6C   0x40003E6C   0   FUN_0009db62@0009db62
0x09DB98   0x40003E74   0   FUN_0009db8e@0009db8e
0x0A1DA0   0x40003DE3   0   FUN_000a1d96@000a1d96
0x0A34DE   0x40003D75   0   FUN_000a34d4@000a34d4
0x0A3504   0x40003EB6   4   FUN_000a34d4@000a34d4
0x0A3522   0x40003F4A   0   FUN_000a34d4@000a34d4
0x0A3546   0x40003FC4   0   FUN_000a34d4@000a34d4
0x0A355C   0x40003F51   0   FUN_000a34d4@000a34d4
0x0A3576   0x40003EEC   1   FUN_000a356e@000a356e
0x0A3590   0x40003E89   0   FUN_000a3586@000a3586
0x0A35AA   0x40003D80   0   FUN_000a359e@000a359e
0x0A35C0   0x40003D80   0   FUN_000a359e@000a359e
0x0A35E2   0x40003D80   0   FUN_000a359e@000a359e
0x0A35FC   0x40003EA7   0   FUN_000a35f0@000a35f0
0x0A3628   0x40003E62   4   FUN_000a361e@000a361e
0x0A3672   0x40003EA6   0   FUN_000a3668@000a3668
0x0A3686   None         1   FUN_000a3668@000a3668
0x0A567E   0x40003EAC   1   FUN_000a5674@000a5674
0x0A569C   0x40003EAD   1   FUN_000a5686@000a5686
0x0A56DA   0x40003EAC   1   FUN_000a56d2@000a56d2
0x0A56F8   None         1   FUN_000a56e2@000a56e2
0x0A599C   0x40003F77   0   FUN_000a5986@000a5986
0x0A5B06   0x40003F77   0   FUN_000a5afc@000a5afc
0x0A6218   0x40003DEE   0   FUN_000a61e2@000a61e2
0x0A62CA   None         None FUN_000a61e2@000a61e2
0x0A80A2   0x40003F52   0   FUN_000a8058@000a8058
0x0A80BA   0x40003DE5   0   FUN_000a80b0@000a80b0
0x0A8178   0x40003F52   None FUN_000a8170@000a8170
0x0A8190   0x40003DE5   0   FUN_000a8186@000a8186
0x0A90EA   0x40003DE4   0   FUN_000a90e0@000a90e0
0x0A968E   0x40003DC5   0   FUN_000a9680@000a9680
0x0A96CC   0x40003DC5   0   FUN_000a96c4@000a96c4
0x0A9A62   0x40003F02   0   FUN_000a9a54@000a9a54
0x0A9A80   0x40003DBE   0   FUN_000a9a76@000a9a76
0x0A9A92   0x40003DBD   0   FUN_000a9a8a@000a9a8a
0x0A9AA4   0x40003DDB   0   FUN_000a9a9c@000a9a9c
0x0A9AB6   0x40003DBC   0   FUN_000a9aae@000a9aae
0x0A9AC8   0x40003E2C   0   FUN_000a9abe@000a9abe
0x0A9ADA   0x40003D8D   2   FUN_000a9ad0@000a9ad0
0x0A9AEC   0x40003DF6   0   FUN_000a9ae2@000a9ae2
0x0A9AFE   0x40003DF7   0   FUN_000a9af6@000a9af6
0x0A9B10   0x40003DF8   0   FUN_000a9b06@000a9b06
0x0A9B22   0x40003DF9   0   FUN_000a9b18@000a9b18
0x0A9B34   0x40003DFA   0   FUN_000a9b2c@000a9b2c
0x0A9B46   0x40003DFB   0   FUN_000a9b3c@000a9b3c
0x0A9B58   0x40003DFC   0   FUN_000a9b4e@000a9b4e
0x0A9B6A   0x40003DFD   0   FUN_000a9b60@000a9b60
0x0A9B7C   0x40003DFE   0   FUN_000a9b74@000a9b74
0x0A9B8E   0x40003DFF   0   FUN_000a9b84@000a9b84
0x0A9BA0   0x40003D8F   0   FUN_000a9b96@000a9b96
0x0A9BB2   0x40003D7E   0   FUN_000a9baa@000a9baa
0x0A9BC4   0x40003EEC   3   FUN_000a9bbc@000a9bbc
0x0A9BD6   0x40003E63   2   FUN_000a9bce@000a9bce
0x0A9BE6   0x40003E63   2   FUN_000a9bce@000a9bce
0x0A9D0E   0x40003E71   0   FUN_000a9d04@000a9d04
0x0A9D7C   0x40003D8C   0   FUN_000a9d72@000a9d72
0x0AA40E   0x40003E2F   0   FUN_000aa3d8@000aa3d8
0x0AA5DE   None         0   FUN_000aa5d2@000aa5d2
0x0AB08C   0x40003FF4   0   FUN_000aaff0@000aaff0
0x0AB0A6   0x40003D7D   1   FUN_000ab09a@000ab09a
0x0AB0BC   0x40004002   0   FUN_000ab09a@000ab09a
0x0AB0D6   0x40003D7B   1   FUN_000ab0ca@000ab0ca
0x0AC466   0x40003E8D   0   FUN_000ac456@000ac456
0x0AC49C   0x40004021   0   FUN_000ac488@000ac488
0x0AC4BE   0x40004022   0   FUN_000ac488@000ac488
0x0AC4D4   0x40004023   0   FUN_000ac488@000ac488
0x0AC4EA   0x40003F25   4   FUN_000ac488@000ac488
0x0AC5A6   0x40004007   0   FUN_000ac508@000ac508
0x0AC654   None         0   FUN_000ac5be@000ac5be
0x0AC684   0x40003E8A   0   FUN_000ac67a@000ac67a
0x0AC6AC   0x40003EA3   0   FUN_000ac6a2@000ac6a2
0x0AC906   0x40004007   0   FUN_000ac8c4@000ac8c4
0x0AC9BA   None         0   FUN_000ac924@000ac924
0x0AC9EE   0x40003E8A   0   FUN_000ac9e4@000ac9e4
0x0ACA1A   0x40003EA3   0   FUN_000aca10@000aca10
0x0AE92C   0x40003FF1   2   FUN_000ae922@000ae922
0x0AE962   0x40003FF1   2   FUN_000ae958@000ae958
0x0AEEDA   0x40003F53   2   FUN_000aeec6@000aeec6
0x0AEEEE   0x40003F54   2   FUN_000aeec6@000aeec6
0x0AEEFA   0x40003FF9   0   FUN_000aeec6@000aeec6
0x0AEF06   0x40003FF6   1   FUN_000aeec6@000aeec6
0x0AFF2A   0x40003EEC   0   FUN_000aff20@000aff20
0x0B0E42   0x40003F02   0   FUN_000b0e22@000b0e22
0x0B0E72   0x40003F02   0   FUN_000b0e22@000b0e22
0x0B0FF6   0x40003F24   1   FUN_000b0fe2@000b0fe2
0x0B1012   0x40003D88   0   FUN_000b1008@000b1008
0x0B1052   0x40003EAB   0   FUN_000b1048@000b1048
0x0B1144   0x40003E62   2   FUN_000b113a@000b113a
0x0B11EA   None         0   FUN_000b113a@000b113a
0x0B120A   None         0   FUN_000b113a@000b113a
0x0B1738   None         2   None
0x0B1926   0x40003EAA   0   FUN_000b191c@000b191c
0x0B1A04   0x40003EAA   0   FUN_000b19fa@000b19fa
0x0B1B02   None         0   FUN_000b1aba@000b1aba
0x0B1F68   0x40003E64   1   FUN_000b1f58@000b1f58
0x0B1FDA   0x40003EEC   4   FUN_000b1fd0@000b1fd0
0x0B1FF4   0x40003D8D   3   FUN_000b1fec@000b1fec
0x0B200E   0x40003EB7   3   FUN_000b2006@000b2006
0x0B2028   0x40003F68   0   FUN_000b201c@000b201c
0x0B2042   0x40003F6A   0   FUN_000b2036@000b2036
0x0B29AE   0x40003DC3   0   FUN_000b29a4@000b29a4
0x0B29E8   0x40003DC4   0   FUN_000b29de@000b29de
0x0B2AC4   0x40003DCB   0   FUN_000b2aba@000b2aba
0x0B3FEA   0x40003EEC   4   FUN_000b3fe0@000b3fe0
0x0B4004   0x40003D8D   3   FUN_000b3ffc@000b3ffc
0x0B401E   0x40003EB7   3   FUN_000b4016@000b4016
0x0B403C   0x40003F68   0   FUN_000b4016@000b4016
0x0B4052   0x40003F6A   0   FUN_000b4016@000b4016
0x0B426E   None         1   FUN_000b416e@000b416e
0x0B42B2   None         3   FUN_000b416e@000b416e
0x0B42F0   0x40003D76   0   FUN_000b42e6@000b42e6
0x0B482E   0x40003F25   2   FUN_000b481a@000b481a
0x0B4848   0x40003F27   2   FUN_000b481a@000b481a
0x0B4878   0x40003FEC   3   FUN_000b481a@000b481a
0x0B530C   0x40003F57   0   FUN_000b5270@000b5270
0x0B534A   0x40003F59   0   FUN_000b5270@000b5270
0x0B5388   None         0   FUN_000b5270@000b5270
0x0B53C6   None         0   FUN_000b5270@000b5270
0x0B5404   None         0   FUN_000b5270@000b5270
0x0B5442   None         0   FUN_000b5270@000b5270
0x0B5480   None         0   FUN_000b5270@000b5270
0x0B54BE   None         3   FUN_000b5270@000b5270
0x0B54FC   None         0   FUN_000b5270@000b5270
0x0B553A   None         0   FUN_000b5270@000b5270
0x0B57D0   0x40003F57   0   FUN_000b575a@000b575a
0x0B581A   0x40003F59   0   FUN_000b575a@000b575a
0x0B5858   None         0   FUN_000b575a@000b575a
0x0B5896   None         0   FUN_000b575a@000b575a
0x0B58D8   None         0   FUN_000b575a@000b575a
0x0B5916   None         0   FUN_000b575a@000b575a
0x0B5954   None         0   FUN_000b575a@000b575a
0x0B5992   None         3   FUN_000b575a@000b575a
0x0B59D0   None         0   FUN_000b575a@000b575a
0x0B5A0E   None         0   FUN_000b575a@000b575a
0x0B64C6   0x40003E63   6   FUN_000b64bc@000b64bc
0x0B667C   0x40003DBF   0   FUN_000b6672@000b6672
0x0B68E4   0x40003F35   0   FUN_000b68c6@000b68c6
0x0B68F0   0x40003F03   1   FUN_000b68c6@000b68c6
0x0B6B46   0x40003FEE   7   FUN_000b6b00@000b6b00
0x0B6B8A   0x40003FEE   None FUN_000b6b00@000b6b00
0x0B6BD6   0x40003F90   4   FUN_000b6b00@000b6b00
0x0B7894   0x40003FEB   5   FUN_000b788a@000b788a
0x0B78AC   0x40003E72   0   FUN_000b78a2@000b78a2
0x0B8284   0x40003E62   3   FUN_000b827a@000b827a
0x0B9190   0x40003E28   0   FUN_000b9186@000b9186
0x0B928A   0x40003F03   0   FUN_000b9276@000b9276
0x0B9858   0x40003FE9   0   FUN_000b97fa@000b97fa
0x0B9896   0x40003F08   0   FUN_000b97fa@000b97fa
0x0B98D4   None         0   FUN_000b97fa@000b97fa
0x0B9912   None         0   FUN_000b97fa@000b97fa
0x0B9950   None         0   FUN_000b97fa@000b97fa
0x0B998E   None         0   FUN_000b97fa@000b97fa
0x0B99CC   None         0   FUN_000b97fa@000b97fa
0x0B9C22   0x40003FE9   0   FUN_000b9bda@000b9bda
0x0B9C70   0x40003F08   0   FUN_000b9bda@000b9bda
0x0B9CB2   None         0   FUN_000b9bda@000b9bda
0x0B9CF4   None         0   FUN_000b9bda@000b9bda
0x0B9D36   None         0   FUN_000b9bda@000b9bda
0x0B9D78   None         0   FUN_000b9bda@000b9bda
0x0B9DBC   None         0   FUN_000b9bda@000b9bda
0x0BABFA   0x40003F33   0   FUN_000bab5c@000bab5c
0x0BAC38   0x40003F2F   0   FUN_000bab5c@000bab5c
0x0BAC76   None         0   FUN_000bab5c@000bab5c
0x0BACB4   None         0   FUN_000bab5c@000bab5c
0x0BACF2   None         0   FUN_000bab5c@000bab5c
0x0BAD30   None         1   FUN_000bab5c@000bab5c
0x0BAD6E   None         0   FUN_000bab5c@000bab5c
0x0BADAC   None         1   FUN_000bab5c@000bab5c
0x0BADEA   None         0   FUN_000bab5c@000bab5c
0x0BAE28   None         0   FUN_000bab5c@000bab5c
0x0BB070   0x40003F33   0   FUN_000bb01e@000bb01e
0x0BB0BA   0x40003F2F   0   FUN_000bb01e@000bb01e
0x0BB0F8   None         0   FUN_000bb01e@000bb01e
0x0BB136   None         0   FUN_000bb01e@000bb01e
0x0BB174   None         0   FUN_000bb01e@000bb01e
0x0BB1B6   None         1   FUN_000bb01e@000bb01e
0x0BB1F4   None         0   FUN_000bb01e@000bb01e
0x0BB232   None         1   FUN_000bb01e@000bb01e
0x0BB270   None         0   FUN_000bb01e@000bb01e
0x0BB2AE   None         0   FUN_000bb01e@000bb01e
0x0BBEDA   None         0   FUN_000bbd7c@000bbd7c
0x0BBF12   None         2   FUN_000bbd7c@000bbd7c
0x0BC1AE   0x40003F24   2   FUN_000bc152@000bc152
0x0BC1BA   0x40003F74   0   FUN_000bc152@000bc152
0x0BD606   0x40003F24   2   FUN_000bd5f2@000bd5f2
0x0BD61E   0x40003F74   0   FUN_000bd5f2@000bd5f2
0x0BEAFC   0x40003E60   0   FUN_000beaf2@000beaf2
0x0BEB8C   0x40003E61   0   FUN_000beb82@000beb82
0x0C1764   0x40003F50   0   FUN_000c1752@000c1752
0x0C4092   0x40003F50   0   FUN_000c4080@000c4080
0x0C4596   0x40003F4A   2   FUN_000c4514@000c4514
0x0C45C0   None         1   FUN_000c4514@000c4514
0x0C4650   None         1   FUN_000c4622@000c4622
0x0C4678   None         2   FUN_000c4622@000c4622
0x0C4724   None         2   None
0x0C47C6   None         2   FUN_000c47ac@000c47ac
0x0C4800   None         2   FUN_000c47ac@000c47ac
0x0C482E   None         2   FUN_000c47ac@000c47ac
0x0C48D0   None         2   FUN_000c48b6@000c48b6
0x0C4A0A   0x40003F4A   2   FUN_000c4a00@000c4a00
0x0C4B38   0x40003D75   6   FUN_000c4b2e@000c4b2e
0x0C5210   0x400040A8   0   FUN_000c5206@000c5206
0x0C5342   0x40004032   0   FUN_000c5338@000c5338
0x0C5460   0x40003F74   1   FUN_000c544e@000c544e
0x0C5BEC   0x400040AB   0   FUN_000c5b0e@000c5b0e
0x0C5C4A   0x400040AC   0   FUN_000c5b0e@000c5b0e
0x0C5CAA   0x00000012   0   FUN_000c5b0e@000c5b0e
0x0C5D06   0x00000012   0   FUN_000c5b0e@000c5b0e
0x0CAD8A   0x40003F74   1   FUN_000cad78@000cad78
0x0CAE0A   0x400040AB   0   FUN_000cadd6@000cadd6
0x0CAE34   0x400040AC   0   FUN_000cadd6@000cadd6
0x0CAE5E   0x400040AD   0   FUN_000cadd6@000cadd6
0x0CAE88   0x00000012   0   FUN_000cadd6@000cadd6
0x0CAEB2   0x00000012   0   FUN_000cadd6@000cadd6
0x0CAEDC   0x00000012   0   FUN_000cadd6@000cadd6
0x0CB0B4   0x40003EFE   0   FUN_000caf62@000caf62
0x0CB114   None         0   FUN_000caf62@000caf62
0x0CB13E   None         0   FUN_000caf62@000caf62
0x0CB276   0x400040BF   0   FUN_000cb1e2@000cb1e2
0x0CB290   0x400040C7   0   FUN_000cb1e2@000cb1e2
0x0CB2A2   0x400040CF   0   FUN_000cb1e2@000cb1e2
0x0CB2B4   0x400040D7   0   FUN_000cb1e2@000cb1e2
0x0CB2C6   0x400040DF   0   FUN_000cb1e2@000cb1e2
0x0CB2D8   None         0   FUN_000cb1e2@000cb1e2
0x0D4714   0x40003E2D   1   FUN_000d4708@000d4708
0x0D5A40   0x40003DA0   1   None
0x0D5C7E   0x40003DA2   1   None
0x0D5DA4   0x40003DB0   1   None
0x0D5F4E   0x40003DB1   1   None
0x0D61B0   0x40003DB2   1   None
0x0D6344   0x40003DA3   1   None
0x0D64E0   0x40003DA1   1   None
0x0D66F8   0x40003EFB   2   None
0x0D688C   0x40003EFA   2   None
0x0D6A64   0x40003EFC   2   None
0x0D737A   0x40003ECE   0   None
0x0D758E   0x40003ED0   0   None
0x0D7738   0x40003EDC   0   None
0x0D788A   0x40003D89   2   None
0x0D7900   0x40003D9F   1   None
0x0D7CE4   0x40003EC4   0   None
0x0D7E8A   0x40003EDD   0   None
0x0D839A   0x40003ECF   0   None
0x0D8502   0x40003ECC   0   None
0x0D868E   0x40003DA4   1   None
0x0D8B10   0x40003EC1   0   None
0x0D8B9A   0x40003EDE   0   None
0x0D8C18   0x40003ECA   0   None
0x0D8C8E   0x40003EC9   0   None
0x0D8E28   0x40003DAD   1   None
0x0D8E92   0x40003DA6   1   None
0x0D8EFC   0x40003DA9   1   None
0x0D8F66   0x40003DAC   1   None
0x0D8FD0   0x40003DAB   1   None
0x0D9038   0x40003DAE   1   None
0x0D90A2   0x40003DAA   1   None
0x0D910C   0x40003DA5   1   None
0x0D9176   0x40003DA8   0   None
0x0D92A0   0x40003ED1   0   None
0x0D93EA   0x40003ED7   0   None
0x0D9474   0x40003ED6   0   None
0x0D9500   0x40003ED9   0   None
0x0D958A   0x40003ED2   0   None
0x0D9608   0x40003ED3   1   None
0x0D9688   0x40003EC5   0   None
0x0D97DC   0x40003EC7   0   None
0x0D9868   0x40003EC6   0   None
0x0D98F4   0x40003EC3   0   None
0x0D9980   0x40003EC8   0   None
0x0D9AF8   0x40003ED8   0   None
0x0D9E48   0x40003ECD   1   None
0x0DA0BA   0x40003FF1   4   None
0x0DA1D0   0x40003FF9   1   None
0x0DA2EA   0x40003E41   0   None
0x0DA384   0x40003E42   0   None
0x0DA42A   0x40003E43   0   None
0x0DA4D8   0x40003E45   0   None
0x0DA572   0x40003E46   1   None
0x0DA61C   0x40003E47   0   None
0x0DA6E0   0x40003ECB   0   None
0x0DA7A2   0x40003E49   0   None
0x0DA840   0x40003E4A   0   None
0x0DA8EE   0x40003E4B   0   None
0x0DA98E   0x40003E4C   0   None
0x0DAA2E   0x40003E4D   0   None
0x0DAACE   0x40003E4E   0   None
0x0DAB6C   0x40003E4F   0   None
0x0DABDE   0x40003EDA   0   None
0x0DAC7C   0x40003EC0   0   None
0x0DAD18   0x40003DA7   1   None
0x0DADEC   0x40003D87   2   None
0x0DAE92   0x40003E52   0   None
0x0DAF50   0x40003FF6   2   None
0x0DAFEA   0x40003EDB   0   None
0x0F3BA2   0x40003DB6   1   FUN_000f3b6a@000f3b6a
0x0F3CBA   0x40003EA9   0   FUN_000f3c5e@000f3c5e
0x0F3DA0   0x40003EA9   0   FUN_000f3d96@000f3d96
0x0F3E68   0x40003D95   1   FUN_000f3e58@000f3e58
0x0F47F6   0x40003DB5   1   FUN_000f47be@000f47be
0x0F4870   0x40003E5C   2   FUN_000f483c@000f483c
0x0F48F4   0x40003E5C   2   FUN_000f48b0@000f48b0
0x0F4C92   0x40003DCD   0   FUN_000f4c80@000f4c80

resolved 605 / 782 call sites
CONTROL C1 (0x40003FC0 bit 4, APP_lock_command_dirty): FAIL
CONTROL C2 (0x40003FF1 bit 2):                         PASS 0x0AE92C
*** AT LEAST ONE CONTROL FAILED -> result is INCONCLUSIVE ***

Sites whose flag is in 0x40003F40..0x40003F60 (RKE neighbourhood):
    {'site': '0x044D58', 'func': 'FUN_00044d4c@00044d4c', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F55', 'bit': 5}
    {'site': '0x059082', 'func': 'FUN_0005906e@0005906e', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F4D', 'bit': 1}
    {'site': '0x0590F0', 'func': 'FUN_000590dc@000590dc', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F4D', 'bit': 1}
    {'site': '0x05BB72', 'func': 'FUN_0005babe@0005babe', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F44', 'bit': 1}
    {'site': '0x05BB7E', 'func': 'FUN_0005babe@0005babe', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F45', 'bit': 1}
    {'site': '0x05C052', 'func': 'FUN_0005c048@0005c048', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F54', 'bit': 3}
    {'site': '0x065B66', 'func': 'FUN_00065b5c@00065b5c', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F4F', 'bit': 0}
    {'site': '0x07EB9E', 'func': 'FUN_0007eb94@0007eb94', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F56', 'bit': 0}
    {'site': '0x07EC3E', 'func': 'FUN_0007ec30@0007ec30', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F56', 'bit': 0}
    {'site': '0x099308', 'func': 'FUN_000992fe@000992fe', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F53', 'bit': 1}
    {'site': '0x09CDEE', 'func': 'FUN_0009cd58@0009cd58', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F60', 'bit': 0}
    {'site': '0x0A3522', 'func': 'FUN_000a34d4@000a34d4', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F4A', 'bit': 0}
    {'site': '0x0A355C', 'func': 'FUN_000a34d4@000a34d4', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F51', 'bit': 0}
    {'site': '0x0A80A2', 'func': 'FUN_000a8058@000a8058', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F52', 'bit': 0}
    {'site': '0x0A8178', 'func': 'FUN_000a8170@000a8170', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F52', 'bit': None}
    {'site': '0x0AEEDA', 'func': 'FUN_000aeec6@000aeec6', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F53', 'bit': 2}
    {'site': '0x0AEEEE', 'func': 'FUN_000aeec6@000aeec6', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F54', 'bit': 2}
    {'site': '0x0B530C', 'func': 'FUN_000b5270@000b5270', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F57', 'bit': 0}
    {'site': '0x0B534A', 'func': 'FUN_000b5270@000b5270', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F59', 'bit': 0}
    {'site': '0x0B57D0', 'func': 'FUN_000b575a@000b575a', 'reftype': 'UNCONDITIONAL_CALL', 'flag': '0x40003F57', 'bit': 0}
