Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PE[5],PCR[69],"AF0
AF1
AF2
AF3","GPIO[69]
E0UC[21]
CS0_1
MA[2]","SIUL
eMIOS_0
DSPI_1
ADC_0","I/O
I/O
I/O
O",M,Tristate,94,133,161,C6
PE[6],PCR[70],"AF0
AF1
AF2
AF3
—","GPIO[70]
E0UC[22]
CS3_0
MA[1]
EIRQ[22]","SIUL
eMIOS_0
DSPI_0
ADC_0
SIUL","I/O
I/O
O
O
I",M,Tristate,95,139,167,B5
PE[7],PCR[71],"AF0
AF1
AF2
AF3
—","GPIO[71]
E0UC[23]
CS2_0
MA[0]
EIRQ[23]","SIUL
eMIOS_0
DSPI_0
ADC_0
SIUL","I/O
I/O
O
O
I",M,Tristate,96,140,168,C4
PE[8],PCR[72],"AF0
AF1
AF2
AF3","GPIO[72]
CAN2TX
E0UC[22]
CAN3TX","SIUL
FlexCAN_2
eMIOS_0
FlexCAN_3","I/O
O
I/O
O",M,Tristate,9,13,21,G2
PE[9],PCR[73],"AF0
AF1
AF2
AF3
—
—
—","GPIO[73]
—
E0UC[23]
—
WKPU[7](5)
CAN2RX
CAN3RX","SIUL
—
eMIOS_0
—
WKPU
FlexCAN_2
FlexCAN_3","I/O
—
I/O
—
I
I
I",S,Tristate,10,14,22,G1
