Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PH[10](10),PCR[122],"AF0
AF1
AF2
AF3","GPIO[122]
—
TMS
—","SIUL
—
JTAGC
—","I/O
—
I
—",M,"Input,
weak pull-
up",81,120,148,B9
PH[11],PCR[123],"AF0
AF1
AF2
AF3","GPIO[123]
SOUT_3
CS0_4
E1UC[5]","SIUL
DSPI_3
DSPI_4
eMIOS_1","I/O
O
I/O
I/O",M,Tristate,—,—,140,A14
PH[12],PCR[124],"AF0
AF1
AF2
AF3","GPIO[124]
SCK_3
CS1_4
E1UC[25]","SIUL
DSPI_3
DSPI_4
eMIOS_1","I/O
I/O
O
I/O",M,Tristate,—,—,141,D12
PH[13],PCR[125],"AF0
AF1
AF2
AF3","GPIO[125]
SOUT_4
CS0_3
E1UC[26]","SIUL
DSPI_4
DSPI_3
eMIOS_1","I/O
O
I/O
I/O",M,Tristate,—,—,9,B3
PH[14],PCR[126],"AF0
AF1
AF2
AF3","GPIO[126]
SCK_4
CS1_3
E1UC[27]","SIUL
DSPI_4
DSPI_3
eMIOS_1","I/O
I/O
O
I/O",M,Tristate,—,—,10,D1
PH[15],PCR[127],"AF0
AF1
AF2
AF3","GPIO[127]
SOUT_5
—
E1UC[17]","SIUL
DSPI_5
—
eMIOS_1","I/O
O
—
I/O",M,Tristate,—,—,8,A3
Port I,,,,,,,,,,,
