Symbol,,C,Parameter,Conditions(1),,Value,,,Unit
,,,,,,Min,Typ,Max,
"V
IH",SR,P,"Input high level CMOS (Schmitt
Trigger)",—,,"0.65V
DD",—,"V + 0.4
DD",V
"V
IL",SR,P,"Input low level CMOS (Schmitt
Trigger)",—,,0.4,—,"0.35V
DD",
"V
HYS",CC,C,"Input hysteresis CMOS (Schmitt
Trigger)",—,,"0.1V
DD",—,—,
"I
LKG",CC,D,Digital input leakage,"No injection on
adjacent pin","T = 40 °C
A",—,2,200,nA
,,D,,,"T = 25 °C
A",—,2,200,
,,D,,,"T = 85 °C
A",—,5,300,
,,D,,,"T = 105 °C
A",—,12,500,
,,P,,,"T = 125 °C
A",—,70,1000,
"W (2)
FI",SR,P,Wakeup input filtered pulse,—,,—,—,40,ns
"W (2
NFI
)",SR,P,Wakeup input not filtered pulse,—,,1000,—,—,ns
