Symbol,,C,Parameter,Conditions(1),Value,,,Unit
,,,,,Min,Typ,Max,
"f
FIRC",CC,P,"Fast internal RC oscillator high
frequency","T = 25 °C, trimmed
A",—,16,—,MHz
,SR,—,,—,12,,20,
"I (2)
FIRCRUN",CC,T,"Fast internal RC oscillator high
frequency current in running
mode","T = 25 °C, trimmed
A",—,—,200,µA
"I
FIRCPWD",CC,D,"Fast internal RC oscillator high
frequency current in power
down mode","T = 25 °C
A",—,—,10,µA
