Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PI[0],PCR[128],"AF0
AF1
AF2
AF3","GPIO[128]
E0UC[28]
LIN8TX
—","SIUL
eMIOS_0
LINFlex_8
—","I/O
I/O
O
—",S,Tristate,—,—,172,A9
PI[1],PCR[129],"AF0
AF1
AF2
AF3
—
—","GPIO[129]
E0UC[29]
—
—
WKPU[24](5)
LIN8RX","SIUL
eMIOS_0
—
—
WKPU
LINFlex_8","I/O
I/O
—
—
I
I",S,Tristate,—,—,171,A10
PI[2],PCR[130],"AF0
AF1
AF2
AF3","GPIO[130]
E0UC[30]
LIN9TX
—","SIUL
eMIOS_0
LINFlex_9
—","I/O
I/O
O
—",S,Tristate,—,—,170,B10
PI[3],PCR[131],"AF0
AF1
AF2
AF3
—
—","GPIO[131]
E0UC[31]
—
—
WKPU[23](5)
LIN9RX","SIUL
eMIOS_0
—
—
WKPU
LINFlex_9","I/O
I/O
—
—
I
I",S,Tristate,—,—,169,C10
PI[4],PCR[132],"AF0
AF1
AF2
AF3","GPIO[132]
E1UC[28]
SOUT_4
—","SIUL
eMIOS_1
DSPI_4
—","I/O
I/O
O
—",S,Tristate,—,—,143,A12
