Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PG[6],PCR[102],"AF0
AF1
AF2
AF3","GPIO[102]
E1UC[15]
LIN6TX
—","SIUL
eMIOS_1
LINFlex_6
—","I/O
I/O
O
—",M,Tristate,—,30,38,M2
PG[7],PCR[103],"AF0
AF1
AF2
AF3
—
—","GPIO[103]
E1UC[16]
E1UC[30]
—
WKPU[20](5)
LIN6RX","SIUL
eMIOS_1
eMIOS_1
—
WKPU
LINFlex_6","I/O
I/O
I/O
—
I
I",S,Tristate,—,29,37,M1
PG[8],PCR[104],"AF0
AF1
AF2
AF3
—","GPIO[104]
E1UC[17]
LIN7TX
CS0_2
EIRQ[15]","SIUL
eMIOS_1
LINFlex_7
DSPI_2
SIUL","I/O
I/O
O
I/O
I",S,Tristate,—,26,34,L2
PG[9],PCR[105],"AF0
AF1
AF2
AF3
—
—","GPIO[105]
E1UC[18]
—
SCK_2
WKPU[21](5)
LIN7RX","SIUL
eMIOS_1
—
DSPI_2
WKPU
LINFlex_7","I/O
I/O
—
I/O
I
I",S,Tristate,—,25,33,L1
