Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
Port A,,,,,,,,,,,
PA[0],PCR[0],"AF0
AF1
AF2
AF3
—","GPIO[0]
E0UC[0]
CLKOUT
E0UC[13]
WKPU[19](5)","SIUL
eMIOS_0
MC_CGM
eMIOS_0
WKPU","I/O
I/O
O
I/O
I",M,Tristate,12,16,24,G4
PA[1],PCR[1],"AF0
AF1
AF2
AF3
—","GPIO[1]
E0UC[1]
NMI(6)
—
WKPU[2](5)","SIUL
eMIOS_0
WKPU
—
WKPU","I/O
I/O
I
—
I",S,Tristate,7,11,19,F3
PA[2],PCR[2],"AF0
AF1
AF2
AF3
—","GPIO[2]
E0UC[2]
—
MA[2]
WKPU[3](5)","SIUL
eMIOS_0
—
ADC_0
WKPU","I/O
I/O
—
O
I",S,Tristate,5,9,17,F2
PA[3],PCR[3],"AF0
AF1
AF2
AF3
—
—","GPIO[3]
E0UC[3]
LIN5TX
CS4_1
EIRQ[0]
ADC1_S[0]","SIUL
eMIOS_0
LINFlex_5
DSPI_1
SIUL
ADC_1","I/O
I/O
O
O
I
I",J,Tristate,68,90,114,K15
