Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PC[4],PCR[36],"AF0
AF1
AF2
AF3
—
—
—","GPIO[36]
E1UC[31]
—
DEBUG[2]
EIRQ[18]
SIN_1
CAN3RX","SIUL
eMIOS_1
—
SSCM
SIUL
DSPI_1
FlexCAN_3","I/O
I/O
—
O
I
I
I",M,Tristate,92,131,159,B7
PC[5],PCR[37],"AF0
AF1
AF2
AF3
—","GPIO[37]
SOUT_1
CAN3TX
DEBUG[3]
EIRQ[7]","SIUL
DSPI_1
FlexCAN_3
SSCM
SIUL","I/O
O
O
O
I",M,Tristate,91,130,158,A7
PC[6],PCR[38],"AF0
AF1
AF2
AF3","GPIO[38]
LIN1TX
E1UC[28]
DEBUG[4]","SIUL
LINFlex_1
eMIOS_1
SSCM","I/O
O
I/O
O",S,Tristate,25,36,44,R2
PC[7],PCR[39],"AF0
AF1
AF2
AF3
—
—","GPIO[39]
—
E1UC[29]
DEBUG[5]
LIN1RX
WKPU[12](5)","SIUL
—
eMIOS_1
SSCM
LINFlex_1
WKPU","I/O
—
I/O
O
I
I",S,Tristate,26,37,45,P3
