Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PI[14],PCR[142],"AF0
AF1
AF2
AF3
—
—","GPIO[142]
—
—
—
ADC0_S[22]
SIN_4","SIUL
—
—
—
ADC_0
DSPI_4","I/O
—
—
—
I
I",J,Tristate,—,—,76,R8
PI[15],PCR[143],"AF0
AF1
AF2
AF3
—","GPIO[143]
CS0_4
—
—
ADC0_S[23]","SIUL
DSPI_4
—
—
ADC_0","I/O
I/O
—
—
I",J,Tristate,—,—,75,T8
Port J,,,,,,,,,,,
PJ[0],PCR[144],"AF0
AF1
AF2
AF3
—","GPIO[144]
CS1_4
—
—
ADC0_S[24]","SIUL
DSPI_4
—
—
ADC_0","I/O
O
—
—
I",J,Tristate,—,—,74,N5
PJ[1],PCR[145],"AF0
AF1
AF2
AF3
—
—","GPIO[145]
—
—
—
ADC0_S[25]
SIN_5","SIUL
—
—
——
ADC_0
DSPI_5","I/O
—
—
—
I
I",J,Tristate,—,—,73,P5
