Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PD[4],PCR[52],"AF0
AF1
AF2
AF3
—
—","GPIO[52]
—
—
—
ADC0_P[8]
ADC1_P[8]","SIUL
—
—
—
ADC_0
ADC_1","I
—
—
—
I
I",I,Tristate,45,67,81,R13
PD[5],PCR[53],"AF0
AF1
AF2
AF3
—
—","GPIO[53]
—
—
—
ADC0_P[9]
ADC1_P[9]","SIUL
—
—
—
ADC_0
ADC_1","I
—
—
—
I
I",I,Tristate,46,68,82,T13
PD[6],PCR[54],"AF0
AF1
AF2
AF3
—
—","GPIO[54]
—
—
—
ADC0_P[10]
ADC1_P[10]","SIUL
—
—
—
ADC_0
ADC_1","I
—
—
—
I
I",I,Tristate,47,69,83,T14
PD[7],PCR[55],"AF0
AF1
AF2
AF3
—
—","GPIO[55]
—
—
—
ADC0_P[11]
ADC1_P[11]","SIUL
—
—
—
ADC_0
ADC_1","I
—
—
—
I
I",I,Tristate,48,70,84,R14
