Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PI[5],PCR[133],"AF0
AF1
AF2
AF3","GPIO[133]
E1UC[29]
SCK_4
—","SIUL
eMIOS_1
DSPI_4
—","I/O
I/O
I/O
—",S,Tristate,—,—,142,C12
PI[6],PCR[134],"AF0
AF1
AF2
AF3","GPIO[134]
E1UC[30]
CS0_4
—","SIUL
eMIOS_1
DSPI_4
—","I/O
I/O
I/O
—",S,Tristate,—,—,11,D2
PI[7],PCR[135],"AF0
AF1
AF2
AF3","GPIO[135]
E1UC[31]
CS1_4
—","SIUL
eMIOS_1
DSPI_4
—","I/O
I/O
O
—",S,Tristate,—,—,12,D3
PI[8],PCR[136],"AF0
AF1
AF2
AF3
—","GPIO[136]
—
—
—
ADC0_S[16]","SIUL
—
—
—
ADC_0","I/O
—
—
—
I",J,Tristate,—,—,108,J13
PI[9],PCR[137],"AF0
AF1
AF2
AF3
—","GPIO[137]
—
—
—
ADC0_S[17]","SIUL
—
—
—
ADC_0","I/O
—
—
—
I",J,Tristate,—,—,109,J14
