Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PJ[2],PCR[146],"AF0
AF1
AF2
AF3
—","GPIO[146]
CS0_5
—
—
ADC0_S[26]","SIUL
DSPI_5
—
—
ADC_0","I/O
I/O
—
—
I",J,Tristate,—,—,72,P4
PJ[3],PCR[147],"AF0
AF1
AF2
AF3
—","GPIO[147]
CS1_5
—
—
ADC0_S[27]","SIUL
DSPI_5
—
—
ADC_0","I/O
O
—
—
I",J,Tristate,—,—,71,P2
PJ[4],PCR[148],"AF0
AF1
AF2
AF3","GPIO[148]
SCK_5
E1UC[18]
—","SIUL
DSPI_5
eMIOS_1
—","I/O
I/O
I/O
—",M,Tristate,—,—,5,A4
