Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PC[8],PCR[40],"AF0
AF1
AF2
AF3","GPIO[40]
LIN2TX
E0UC[3]
DEBUG[6]","SIUL
LINFlex_2
eMIOS_0
SSCM","I/O
O
I/O
O",S,Tristate,99,143,175,A1
PC[9],PCR[41],"AF0
AF1
AF2
AF3
—
—","GPIO[41]
—
E0UC[7]
DEBUG[7]
WKPU[13](5)
LIN2RX","SIUL
—
eMIOS_0
SSCM
WKPU
LINFlex_2","I/O
—
I/O
O
I
I",S,Tristate,2,2,2,B1
PC[10],PCR[42],"AF0
AF1
AF2
AF3","GPIO[42]
CAN1TX
CAN4TX
MA[1]","SIUL
FlexCAN_1
FlexCAN_4
ADC_0","I/O
O
O
O",M,Tristate,22,28,36,M3
PC[11],PCR[43],"AF0
AF1
AF2
AF3
—
—
—","GPIO[43]
—
—
MA[2]
WKPU[5](5)
CAN1RX
CAN4RX","SIUL
—
—
ADC_0
WKPU
FlexCAN_1
FlexCAN_4","I/O
—
—
O
I
I
I",S,Tristate,21,27,35,M4
