Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PC[12],PCR[44],"AF0
AF1
AF2
AF3
—
—","GPIO[44]
E0UC[12]
—
—
EIRQ[19]
SIN_2","SIUL
eMIOS_0
—
—
SIUL
DSPI_2","I/O
I/O
—
—
I
I",M,Tristate,97,141,173,B4
PC[13],PCR[45],"AF0
AF1
AF2
AF3","GPIO[45]
E0UC[13]
SOUT_2
—","SIUL
eMIOS_0
DSPI_2
—","I/O
I/O
O
—",S,Tristate,98,142,174,A2
PC[14],PCR[46],"AF0
AF1
AF2
AF3
—","GPIO[46]
E0UC[14]
SCK_2
—
EIRQ[8]","SIUL
eMIOS_0
DSPI_2
—
SIUL","I/O
I/O
I/O
—
I",S,Tristate,3,3,3,C1
PC[15],PCR[47],"AF0
AF1
AF2
AF3
—","GPIO[47]
E0UC[15]
CS0_2
—
EIRQ[20]","SIUL
eMIOS_0
DSPI_2
—
SIUL","I/O
I/O
I/O
—
I",M,Tristate,4,4,4,D3
Port D,,,,,,,,,,,
