Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PD[0],PCR[48],"AF0
AF1
AF2
AF3
—
—
—","GPIO[48]
—
—
—
WKPU[27](5)
ADC0_P[4]
ADC1_P[4]","SIUL
—
—
—
WKPU
ADC_0
ADC_1","I
—
—
—
I
I
I",I,Tristate,41,63,77,P12
PD[1],PCR[49],"AF0
AF1
AF2
AF3
—
—
—","GPIO[49]
—
—
—
WKPU[28](5)
ADC0_P[5]
ADC1_P[5]","SIUL
—
—
—
WKPU
ADC_0
ADC_1","I
—
—
—
I
I
I",I,Tristate,42,64,78,T12
PD[2],PCR[50],"AF0
AF1
AF2
AF3
—
—","GPIO[50]
—
—
—
ADC0_P[6]
ADC1_P[6]","SIUL
—
—
—
ADC_0
ADC_1","I
—
—
—
I
I",I,Tristate,43,65,79,R12
PD[3],PCR[51],"AF0
AF1
AF2
AF3
—
—","GPIO[51]
—
—
—
ADC0_P[7]
ADC1_P[7]","SIUL
—
—
—
ADC_0
ADC_1","I
—
—
—
I
I",I,Tristate,44,66,80,P13
