Package,"768 KByte
Code Flash","1 MByte
Code Flash","1.5 MByte
Code Flash"
LQFP176,—,SPC560B60L7,SPC560B64L7
LQFP144,SPC560B54L5,SPC560B60L5,SPC560B64L5
LQFP100,SPC560B54L3,SPC560B60L3,SPC560B64L3
