Supply segment,,,Pad,LQFP176,,,,LQFP144/100,,,
,,,,Weight 5 V,,Weight 3.3 V,,Weight 5 V,,Weight 3.3 V,
"LQFP
176","LQFP
144","LQFP
100",,"SRC(2) =
0",SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1,SRC = 0,SRC = 1
4,2,2,PD[8],1%,—,1%,—,1%,—,2%,—
,,,PB[4],1%,—,1%,—,1%,—,2%,—
,,,PB[5],1%,—,1%,—,1%,—,2%,—
,,,PB[6],1%,—,1%,—,1%,—,2%,—
,,,PB[7],1%,—,1%,—,1%,—,2%,—
,,,PD[9],1%,—,1%,—,1%,—,2%,—
,,,PD[10],1%,—,1%,—,1%,—,2%,—
,,,PD[11],1%,—,1%,—,1%,—,2%,—
