Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PI[10],PCR[138],"AF0
AF1
AF2
AF3
—","GPIO[138]
—
—
—
ADC0_S[18]","SIUL
—
—
—
ADC_0","I/O
—
—
—
I",J,Tristate,—,—,110,J15
PI[11],PCR[139],"AF0
AF1
AF2
AF3
—
—","GPIO[139]
—
—
—
ADC0_S[19]
SIN_3","SIUL
—
—
—
ADC_0
DSPI_3","I/O
—
—
—
I
I",J,Tristate,—,—,111,J16
PI[12],PCR[140],"AF0
AF1
AF2
AF3
—","GPIO[140]
CS0_3
—
—
ADC0_S[20]","SIUL
DSPI_3
—
—
ADC_0","I/O
I/O
—
—
I",J,Tristate,—,—,112,G14
PI[13],PCR[141],"AF0
AF1
AF2
AF3
—","GPIO[141]
CS1_3
—
—
ADC0_S[21]","SIUL
DSPI_3
—
—
ADC_0","I/O
O
—
—
I",J,Tristate,—,—,113,G15
