Symbol,,C,Parameter,Conditions(1),Value,,,Unit
,,,,,Min,Typ,Max,
"I (2)
FXOSC","C
C",T,"Fast external crystal
oscillator consumption",—,—,2,3,mA
"t
FXOSCSU","C
C",T,"Fast external crystal
oscillator start-up time","f = 4 MHz,
OSC
OSCILLATOR_MARGIN =
0",—,—,6,ms
,,,,"f = 16 MHz,
OSC
OSCILLATOR_MARGIN =
1",—,—,1.8,
"V
IH","S
R",P,"Input high level CMOS
(Schmitt Trigger)",Oscillator bypass mode,"0.65V
DD",—,"V + 0.
DD
4",V
"V
IL","S
R",P,"Input low level CMOS
(Schmitt Trigger)",Oscillator bypass mode,0.4,—,"0.35V
DD",V
