Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PF[13],PCR[93],"AF0
AF1
AF2
AF3
—
—","GPIO[93]
E1UC[26]
—
—
WKPU[16](5)
LIN5RX","SIUL
eMIOS_1
—
—
WKPU
LINFlex_5","I/O
I/O
—
—
I
I",S,Tristate,—,41,49,T6
PF[14],PCR[94],"AF0
AF1
AF2
AF3","GPIO[94]
CAN4TX
E1UC[27]
CAN1TX","SIUL
FlexCAN_4
eMIOS_1
FlexCAN_1","I/O
O
I/O
O",M,Tristate,—,102,126,D14
PF[15],PCR[95],"AF0
AF1
AF2
AF3
—
—
—","GPIO[95]
E1UC[4]
—
—
EIRQ[13]
CAN1RX
CAN4RX","SIUL
eMIOS_1
—
—
SIUL
FlexCAN_1
FlexCAN_4","I/O
I/O
—
—
I
I
I",S,Tristate,—,101,125,E15
Port G,,,,,,,,,,,
PG[0],PCR[96],"AF0
AF1
AF2
AF3","GPIO[96]
CAN5TX
E1UC[23]
—","SIUL
FlexCAN_5
eMIOS_1
—","I/O
O
I/O
—",M,Tristate,—,98,122,E14
