Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
Port C,,,,,,,,,,,
PC[0](10),PCR[32],"AF0
AF1
AF2
AF3","GPIO[32]
—
TDI
—","SIUL
—
JTAGC
—","I/O
—
I
—",M,"Input,
weak pull-
up",87,126,154,A8
PC[1](10),PCR[33],"AF0
AF1
AF2
AF3","GPIO[33]
—
TDO
—","SIUL
—
JTAGC
—","I/O
—
O
—",F(11),Tristate,82,121,149,C9
PC[2],PCR[34],"AF0
AF1
AF2
AF3
—","GPIO[34]
SCK_1
CAN4TX
DEBUG[0]
EIRQ[5]","SIUL
DSPI_1
FlexCAN_4
SSCM
SIUL","I/O
I/O
O
O
I",M,Tristate,78,117,145,A11
PC[3],PCR[35],"AF0
AF1
AF2
AF3
—
—
—","GPIO[35]
CS0_1
MA[0]
DEBUG[1]
EIRQ[6]
CAN1RX
CAN4RX","SIUL
DSPI_1
ADC_0
SSCM
SIUL
FlexCAN_1
FlexCAN_4","I/O
I/O
O
O
I
I
I",S,Tristate,77,116,144,B11
