Symbol,,C,Parameter,Conditions(1),Value,,,Unit
,,,,,Min,Typ,Max,
"f
FXOSC","S
R",—,"Fast external crystal
oscillator frequency",—,4.0,—,16.0,MHz
"g
mFXOSC","C
C",C,"Fast external crystal
oscillator
transconductance","V = 3.3 V ± 10%,
DD
PAD3V5V = 1
OSCILLATOR_MARGIN =
0",2.2,—,8.2,"mA/
V"
,"C
C",P,,"V = 5.0 V ± 10%,
DD
PAD3V5V = 0
OSCILLATOR_MARGIN =
0",2.0,—,7.4,
,"C
C",C,,"V = 3.3 V ± 10%,
DD
PAD3V5V = 1
OSCILLATOR_MARGIN =
1",2.7,—,9.7,
,"C
C",C,,"V = 5.0 V ± 10%,
DD
PAD3V5V = 0
OSCILLATOR_MARGIN =
1",2.5,—,9.2,
"V
FXOSC","C
C",T,"Oscillation amplitude at
EXTAL","f = 4 MHz,
OSC
OSCILLATOR_MARGIN =
0",1.3,—,—,V
,,,,"f = 16 MHz,
OSC
OSCILLATOR_MARGIN =
1",1.3,—,—,
"V
FXOSCOP","C
C",C,"Oscillation operating
point",—,—,0.95,—,V
