Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PB[8],PCR[24],"AF0
AF1
AF2
AF3
—
—
—
—","GPIO[24]
—
—
—
OSC32K_XTAL(8)
WKPU[25](5)
ADC0_S[0]
ADC1_S[4]","SIUL
—
—
—
OSC32K
WKPU
ADC_0
ADC_1","I
—
—
—
—
I(9)
I
I",I,—,39,53,61,R9
PB[9],PCR[25],"AF0
AF1
AF2
AF3
—
—
—
—","GPIO[25]
—
—
—
OSC32K_EXTAL(8)
WKPU[26](5)
ADC0_S[1]
ADC1_S[5]","SIUL
—
—
—
OSC32K
WKPU
ADC_0
ADC_1","I
—
—
—
—
I(9)
I
I",I,—,38,52,60,T9
PB[10],PCR[26],"AF0
AF1
AF2
AF3
—
—
—","GPIO[26]
—
—
—
WKPU[8](5)
ADC0_S[2]
ADC1_S[6]","SIUL
—
—
—
WKPU
ADC_0
ADC_1","I/O
—
—
—
I
I
I",J,Tristate,40,54,62,P9
