Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PD[8],PCR[56],"AF0
AF1
AF2
AF3
—
—","GPIO[56]
—
—
—
ADC0_P[12]
ADC1_P[12]","SIUL
—
—
—
ADC_0
ADC_1","I
—
—
—
I
I",I,Tristate,49,71,87,T15
PD[9],PCR[57],"AF0
AF1
AF2
AF3
—
—","GPIO[57]
—
—
—
ADC0_P[13]
ADC1_P[13]","SIUL
—
—
—
ADC_0
ADC_1","I
—
—
—
I
I",I,Tristate,56,78,94,N15
PD[10],PCR[58],"AF0
AF1
AF2
AF3
—
—","GPIO[58]
—
—
—
ADC0_P[14]
ADC1_P[14]","SIUL
—
—
—
ADC_0
ADC_1","I
—
—
—
I
I",I,Tristate,57,79,95,N14
PD[11],PCR[59],"AF0
AF1
AF2
AF3
—
—","GPIO[59]
—
—
—
ADC0_P[15]
ADC1_P[15]","SIUL
—
—
—
ADC_0
ADC_1","I
—
—
—
I
I",I,Tristate,58,80,96,N16
