Symbol,mm,,,inches(1),,
,Min,Typ,Max,Min,Typ,Max
A,—,—,1.600,—,—,0.0630
A1,0.050,—,0.150,0.0020,—,0.0059
A2,1.350,1.400,1.450,0.0531,0.0551,0.0571
b,0.170,0.220,0.270,0.0067,0.0087,0.0106
c,0.090,—,0.200,0.0035,—,0.0079
D,21.800,22.000,22.200,0.8583,0.8661,0.8740
