Symbol,,C,Parameter,Conditions(1),Value,,,Unit
,,,,,Min,Typ,Max,
"I
ADC1pwd",SR,—,"ADC_1 consumption in power
down mode",—,—,—,50,µA
"I
ADC1run",SR,—,"ADC_1 consumption in
running mode",—,—,—,6,mA
"f
ADC1",SR,—,ADC_1 analog frequency,"V = 3.3 V
DD",3.33,—,20 + 4%,MHz
,,,,"V = 5 V
DD",3.33,—,32 + 4%,
"t
ADC1_PU",SR,—,ADC_1 power up delay,—,—,—,1.5,µs
"t
ADC1_S",CC,T,"Sampling time(4)
V = 3.3 V
DD","f = 20 MHz,
ADC1
INPSAMP = 12",600,—,—,ns
,,,"Sampling time(4)
V = 5.0 V
DD","f = 32 MHz,
ADC1
INPSAMP = 17",500,—,—,
,,,"Sampling time(4)
V = 3.3 V
DD","f = 3.33 MHz,
ADC1
INPSAMP = 255",—,—,76.2,µs
,,,"Sampling time(4)
V = 5.0 V
DD","f = 3.33 MHz,
ADC1
INPSAMP = 255",—,—,76.2,
"t
ADC1_C",CC,P,"Conversion time(5)
V = 3.3 V
DD","f = 20 MHz,
ADC1
INPCMP = 0",2.4,—,—,µs
,,,"Conversion time(5)
V = 5.0 V
DD","f = 32 MHz,
ADC 1
INPCMP = 0",1.5,—,—,µs
,,,"Conversion time(5)
V = 3.3 V
DD","f = 13.33 MHz,
ADC 1
INPCMP = 0",—,—,3.6,µs
,,,"Conversion time(5)
V = 5.0 V
DD","f = 13.33 MHz,
ADC1
INPCMP = 0",—,—,3.6,µs
"
ADC1_SYS",SR,—,ADC_1 digital clock duty cycle,ADCLKSEL = 1(6),45,—,55,%
"C
S",CC,D,"ADC_1 input sampling
capacitance",—,—,—,5,pF
"C
P1",CC,D,"ADC_1 input pin capacitance
1",—,—,—,3,pF
"C
P2",CC,D,"ADC_1 input pin capacitance
2",—,—,—,1,pF
"C
P3",CC,D,"ADC_1 input pin capacitance
3",—,—,—,1.5,pF
"R
SW1",CC,D,"Internal resistance of analog
source",—,—,—,1,k
"R
SW2",CC,D,"Internal resistance of analog
source",—,—,—,2,k
"R
AD",CC,D,"Internal resistance of analog
source",—,—,—,0.3,k
