Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PE[0],PCR[64],"AF0
AF1
AF2
AF3
—
—","GPIO[64]
E0UC[16]
—
—
WKPU[6](5)
CAN5RX","SIUL
eMIOS_0
—
—
WKPU
FlexCAN_5","I/O
I/O
—
—
I
I",S,Tristate,6,10,18,F1
PE[1],PCR[65],"AF0
AF1
AF2
AF3","GPIO[65]
E0UC[17]
CAN5TX
—","SIUL
eMIOS_0
FlexCAN_5
—","I/O
I/O
O
—",M,Tristate,8,12,20,F4
PE[2],PCR[66],"AF0
AF1
AF2
AF3
—
—","GPIO[66]
E0UC[18]
—
—
EIRQ[21]
SIN_1","SIUL
eMIOS_0
—
—
SIUL
DSPI_1","I/O
I/O
—
—
I
I",M,Tristate,89,128,156,D7
PE[3],PCR[67],"AF0
AF1
AF2
AF3","GPIO[67]
E0UC[19]
SOUT_1
—","SIUL
eMIOS_0
DSPI_1
—","I/O
I/O
O
—",M,Tristate,90,129,157,C7
PE[4],PCR[68],"AF0
AF1
AF2
AF3
—","GPIO[68]
E0UC[20]
SCK_1
—
EIRQ[9]","SIUL
eMIOS_0
DSPI_1
—
SIUL","I/O
I/O
I/O
—
I",M,Tristate,93,132,160,D6
