Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PH[4],PCR[116],"AF0
AF1
AF2
AF3","GPIO[116]
E1UC[6]
—
—","SIUL
eMIOS_1
—
—","I/O
I/O
—
—",M,Tristate,—,134,162,A6
PH[5],PCR[117],"AF0
AF1
AF2
AF3","GPIO[117]
E1UC[7]
—
—","SIUL
eMIOS_1
—
—","I/O
I/O
—
—",S,Tristate,—,135,163,B6
PH[6],PCR[118],"AF0
AF1
AF2
AF3","GPIO[118]
E1UC[8]
—
MA[2]","SIUL
eMIOS_1
—
ADC_0","I/O
I/O
—
O",M,Tristate,—,136,164,D5
PH[7],PCR[119],"AF0
AF1
AF2
AF3","GPIO[119]
E1UC[9]
CS3_2
MA[1]","SIUL
eMIOS_1
DSPI_2
ADC_0","I/O
I/O
O
O",M,Tristate,—,137,165,C5
PH[8],PCR[120],"AF0
AF1
AF2
AF3","GPIO[120]
E1UC[10]
CS2_2
MA[0]","SIUL
eMIOS_1
DSPI_2
ADC_0","I/O
I/O
O
O",M,Tristate,—,138,166,A5
PH[9](10),PCR[121],"AF0
AF1
AF2
AF3","GPIO[121]
—
TCK
—","SIUL
—
JTAGC
—","I/O
—
I
—",S,"Input,
weak pull-
up",88,127,155,B8
