Port pin,PCR,")1(noitcnuf
etanretlA",Function,Peripheral,")2(noitcerid
O/I","epyt
daP",")3(noitarugifnoc
TESER",Pin number,,,
,,,,,,,,"LQFP
100","LQFP
144","LQFP
176","LBGA
208(4)"
PG[15],PCR[111],"AF0
AF1
AF2
AF3
—","GPIO[111]
E1UC[1]
—
—
LIN8RX","SIUL
eMIOS_1
—
—
LINFlex_8","I/O
I/O
—
—
I",M,Tristate,—,111,135,B13
Port H,,,,,,,,,,,
PH[0],PCR[112],"AF0
AF1
AF2
AF3
—","GPIO[112]
E1UC[2]
—
—
SIN_1","SIUL
eMIOS_1
—
—
DSPI_1","I/O
I/O
—
—
I",M,Tristate,—,93,117,F13
PH[1],PCR[113],"AF0
AF1
AF2
AF3","GPIO[113]
E1UC[3]
SOUT_1
—","SIUL
eMIOS_1
DSPI_1
—","I/O
I/O
O
—",M,Tristate,—,94,118,F14
PH[2],PCR[114],"AF0
AF1
AF2
AF3","GPIO[114]
E1UC[4]
SCK_1
—","SIUL
eMIOS_1
DSPI_1
—","I/O
I/O
I/O
—",M,Tristate,—,95,119,F16
PH[3],PCR[115],"AF0
AF1
AF2
AF3","GPIO[115]
E1UC[5]
CS0_1
—","SIUL
eMIOS_1
DSPI_1
—","I/O
I/O
I/O
—",M,Tristate,—,96,120,F15
