Symbol,mm,,,inches(1),,
,Min,Typ,Max,Min,Typ,Max
A,—,—,1.600,—,—,0.0630
A1,0.050,—,0.150,0.0020,—,0.0059
A2,1.350,1.400,1.450,0.0531,0.0551,0.0571
b,0.170,0.220,0.270,0.0067,0.0087,0.0106
c,0.090,—,0.200,0.0035,—,0.0079
D,15.800,16.000,16.200,0.6220,0.6299,0.6378
D1,13.800,14.000,14.200,0.5433,0.5512,0.5591
D3,—,12.000,—,—,0.4724,—
E,15.800,16.000,16.200,0.6220,0.6299,0.6378
